name,type
Goldwing,Sativa
Grand Hindu,Indica
Grandaddy Purple,Indica
Grape Ape,Hybrid
Grape Crush,Indica
Grape God,Hybrid
Grape Kush,Hybrid
Grape Skunk,Hybrid
Grapefruit,Hybrid
Grapefruit Haze,Hybrid
Gravity,Hybrid
Green Candy,Hybrid
Green Crack,Hybrid
Green Crack Extreme,Sativa
Green Door Kush,Hybrid
Green Dream,Hybrid
Green Goblin,Sativa
Green Hornet,Hybrid
Green Kush,Hybrid
Green Queen,Hybrid
Harlequin,Hybrid
Hash Plant,Indica
Hashberry,Hybrid
Hashplant Haze,Sativa
Hawaiian Delight,Indica
Hawaiian Fire,Hybrid
Hawaiian Sativa,Hybrid
Hawaiian Skunk,Hybrid
Hawaiian Snow,Hybrid
Hawaiian Thunder Fuck,Hybrid
Haze,Hybrid
Headband,Hybrid
Heavy Duty Fruity,Hybrid
Hempstar,Sativa
Herojuana,Hybrid
Himalayan Gold,Hybrid
Hindu Kush,Hybrid
Hindu Skunk,Hybrid
Hog's Breath,Hybrid
Hong Kong,Hybrid
Huckleberry,Hybrid
Hydro Green Crack,Sativa
Ice,Hybrid
Ice Cream,Hybrid
Ingrid,Hybrid
Island Sweet Skunk,Sativa
J1,Hybrid
J-27,Sativa
Jack Flash,Hybrid
Jack Frost,Hybrid
Jack Herer,Hybrid
Jack Kush,Hybrid
Jack the Ripper,Hybrid
Jamaican Pearl,Sativa
Jillybean,Hybrid
Juicy Fruit,Hybrid
Jupiter Kush,Hybrid
Jupiter OG,Hybrid
K Train,Hybrid
Kaboom,Hybrid
Kahuna,Hybrid
Kali Mist,Hybrid
Kandy Kush,Hybrid
Key Lime Haze,Hybrid
Khola,Hybrid
Killer Queen,Hybrid
King Kong,Hybrid
King Kush,Indica
King Louis,Indica
King's Bread,Sativa
King's Kush,Hybrid
Kryptonite,Hybrid
Kush Berry,Hybrid
Kushberry,Indica
LA Confidential,Hybrid
LA Jack,Hybrid
LA Woman,Hybrid
Lambo OG,Hybrid
Lamb's Bread,Sativa
Lavender,Indica
Lavender Kush,Hybrid
Lemon Diesel,Hybrid
Lemon Drop,Hybrid
Lemon G,Hybrid
Lemon Haze,Hybrid
Lemon Kush,Hybrid
Lemon OG,Hybrid
Lemon Sativa,Sativa
Lemon Skunk,Hybrid
Lifesaver,Hybrid
Lions Gate,Hybrid
Liquid Butter,Indica
LSD,Hybrid
LVPK,Hybrid
M-39,Indica
Mad Dawg,Hybrid
Madagascar,Indica
Mako Haze,Hybrid
Mango,Hybrid
Mango Dream,Hybrid
Mango Kush,Hybrid
Maple Leaf Indica,Hybrid
Mars OG,Hybrid
Martian Mean Green,Hybrid
Master Bubba,Hybrid
Master Kush,Hybrid
Maui,Hybrid
Maui Berry,Hybrid
Maui Waui,Sativa
Mazar I Sharif,Indica
Medicine Man,Hybrid
Mendocino Purps,Hybrid
Mercury OG,Indica
Mexican,Sativa
Misty Kush,Indica
MK Ultra,Hybrid
Moby Dick,Hybrid
Morning Star,Hybrid
Nebula,Hybrid
Neptune Kush,Indica
Neptune OG,Hybrid
Neville's Haze,Hybrid
Northern Lights,Hybrid
Northern Lights #5,Hybrid
Nuggetry OG,Indica
NYC Diesel,Hybrid
Odyssey,Hybrid
OG Kush,Hybrid
OG Poison,Hybrid
OG Wreck,Hybrid
OGiesel,Hybrid
Ogre,Hybrid
Old Lyme Connecticut OG,Hybrid
Orange Bud,Hybrid
Orange Crush,Hybrid
Orange Dream,Hybrid
Orange Kush,Hybrid
Orange Velvet,Hybrid
Organic Diesel,Hybrid
P-91,Hybrid
Panama Red,Hybrid
Pandora's Box,Sativa
Papaya,Hybrid
Permafrost,Hybrid
Pineapple,Hybrid
Pineapple Diesel,Hybrid
Pineapple Express,Hybrid
Pineapple Kush,Hybrid
Pineapple Thai,Hybrid
Pineapple Trainwreck,Hybrid
Pink Pez,Hybrid
Pitbull,Indica
Platinum Bubba,Hybrid
Platinum Bubba Kush,Indica
Platinum Kush,Hybrid
Platinum OG,Indica
Platinum Purple Kush,Indica
Pluto Kush,Indica
Poison Haze,Sativa
Pot of Gold,Hybrid
Power Kush,Hybrid
Power Plant,Hybrid
Pre 98 Bubba Kush,Hybrid
Pure Afghan,Hybrid
Pure Kush,Indica
Pure OG,Indica
Pure Power Plant,Hybrid
Purple Afghani,Hybrid
Purple Arrow,Hybrid
Purple Buddha,Hybrid
Purple Candy,Hybrid
Purple Cream,Hybrid
Purple Diesel,Hybrid
Purple Dragon,Indica
Purple Dream,Hybrid
Purple Goo,Hybrid
Purple Hashplant,Hybrid
Purple Haze,Hybrid
Purple Ice,Hybrid
Purple Kush,Hybrid
Purple Mr. Nice,Indica
Purple Nepal,Hybrid
Purple Passion,Indica
Purple Princess,Hybrid
Purple Skunk,Hybrid
Purple Sour Diesel,
Purple Tonic,Hybrid
Purple Trainwreck,Hybrid
Purple Urkle,Hybrid
Purple Voodoo,Hybrid
Purple Wreck,Hybrid
PVC OG,Indica
Qleaner,Hybrid
Qrazy Train,Hybrid
Querkle,Hybrid
Raspberry Kush,Hybrid
ReCON,Hybrid
Red Dragon,Hybrid
Red Dwarf,Hybrid
Red Haze,Hybrid
Redwood Kush,Hybrid
Richie Rich,Hybrid
Rocklock,Hybrid
Romping Goddess,Hybrid
Romulan,Hybrid
Romulan Grapefruit,Hybrid
Root Beer Kush,Hybrid
Russian Rocket Fuel,Hybrid
Sage,Hybrid
Sage N Sour,Sativa
Satori,Hybrid
Seattle Blue,Indica
Sensi Star,Hybrid
SFV OG,Hybrid
Shaman,Hybrid
Shark Shock,Hybrid
Sharks Breath,Hybrid
Shipwreck,Hybrid
Shishkaberry,Indica
Shiva Skunk,Hybrid
Shoreline,Hybrid
Silver Haze,Hybrid
Silver Pearl,Hybrid
Silver Surfer,Hybrid
Silverback Gorilla,Indica
Skunk #1,Hybrid
Skunky Diesel,Hybrid
Skydog,Indica
Skywalker OG,Hybrid
Snowcap,Hybrid
Soul Shine,Hybrid
Sour Apple,Hybrid
Sour Chocolate,Sativa
Sour Diesel,Hybrid
Sour Dream,Hybrid
Sour Flower,Hybrid
Sour Grape,Hybrid
Sour Grapes,Hybrid
Sour Kush,Hybrid
Sour OG,Hybrid
Space Bomb,Hybrid
Space Queen,Hybrid
Strawberry Cough,Hybrid
Strawberry Diesel,Hybrid
Strawberry Kush,Hybrid
Sugar Shack,Hybrid
Super Blue Dream,Hybrid
Super Cat Piss,Sativa
Super Green Crack,Hybrid
Super Lemon Haze,Hybrid
Super Silver Haze,Sativa
Super Skunk,Hybrid
Super Sour Diesel,Hybrid
Superman OG,Hybrid
Sweet Diesel,Hybrid
Sweet Island Skunk,Hybrid
Sweet Kush,Hybrid
Sweet Tooth,Hybrid
Swiss Bliss,Hybrid
Tahoe OG,Hybrid
Taliban Poison,Indica
Tangerine Dream,Hybrid
Tangerine Kush,Hybrid
Thaidal Wave,Hybrid
Thai-Tanic,Hybrid
THC Bomb,Hybrid
The Flav,Hybrid
The Void,Hybrid
Tiger Woods,Hybrid
Trainwreck,Hybrid
Trident,Hybrid
Triple Diesel,Hybrid
Tropical Tang,Hybrid
Tropicali,Hybrid
True OG,Indica
UK Cheese,Hybrid
Ultimate Trainwreck,Sativa
Vanilla Kush,Indica
Venice OG,Hybrid
Very Berry Haze,Hybrid
Volator Kush,Hybrid
Voodoo,Hybrid
Vortex,Hybrid
Waldo,Hybrid
Walrus Kush,Hybrid
Warlock,Hybrid
White Berry,Hybrid
White Queen,Hybrid
White Rhino,Hybrid
White Russian,Hybrid
White Shark,Hybrid
White Widow,Hybrid
White Zombie,Hybrid
Wonder Haze,Hybrid
Wonderwoman OG,Hybrid
XJ-13,Hybrid
Yoda OG,Hybrid
Yumboldt,Hybrid
Regulator Kush,Hybrid
Napalm Kush,Hybrid
Jack 33,Hybrid
Scarface OG,Hybrid
Sour Alien,Hybrid
Buddha Cheese,Hybrid
Alien Dawg,Indica
Burkle,Hybrid
Banana Cream,Hybrid
Saturn OG,Hybrid
Sugar Daddy,Hybrid
Jacks Cleaner,Hybrid
SpaceJill,Hybrid
The Third Dimension,Hybrid
Silver Cheese,Hybrid
Cheesus,Hybrid
Bubble Cheese,Hybrid
Buddha Haze,Hybrid
Chiesel,Sativa
Cheesy Dick,Hybrid
Cheese Dawg,Hybrid
Appalachia,Hybrid
White Hashplant,Hybrid
Coffee Kush,Hybrid
Dawg Waltz,Hybrid
Double Dawg,Hybrid
HPD,Hybrid
Sour Dawg,Hybrid
Star Dawg,Hybrid
Strawberry HP,Hybrid
Tres Dawg,Hybrid
Tres Kush,Hybrid
The White,Hybrid
Madness,Hybrid
UK Train,Hybrid
White Cheddar,Hybrid
Cheese Whiz,Hybrid
Pure White,Hybrid
Colombian,Hybrid
Alp King,Hybrid
Americano,Hybrid
AMS,Hybrid
Apollo 13,Hybrid
Apple Pie,Hybrid
Arjan's Haze #2,Hybrid
Asia Girl,Hybrid
Astroboy,Sativa
Aurora B,Hybrid
Aurora Indica,Hybrid
B-52,Hybrid
Baldy,Hybrid
BC Biker Bud,Hybrid
Beatrix Choice,Hybrid
Betazoid,Hybrid
Big Bang,Hybrid
Big Blue,Hybrid
Big Funk,Hybrid
Big Gun,Hybrid
Big Mac,Hybrid
Black Bubble,Hybrid
Black Cherry,Hybrid
Black Gold,Hybrid
Black Ice,Hybrid
Black Kat,Hybrid
Black Mamba,Indica
Black Russian,Hybrid
Black Spice,Hybrid
Blonde Widow,Hybrid
Blue Apollo,Hybrid
Blue Bubblejuice,Hybrid
Blue Candy,Hybrid
Blue Crystal,Hybrid
Blue Dynamite,Hybrid
Blue God,Hybrid
Blue Haze,Hybrid
Blue Hen,Hybrid
Blue Russian,Hybrid
Blue Hun,Hybrid
Blue Jack,Hybrid
Blue Jamaican,Hybrid
Blue Kiev,Hybrid
Blue Nepalese,Hybrid
Blue Skunk,Hybrid
Blue Thunder,Hybrid
Blue Thunder,Hybrid
Blueberry Blast,Hybrid
Blueberry Haze,Hybrid
Blueberry Magic,Hybrid
Blueberry NL,Hybrid
Blueberry Punch,Hybrid
Bogglegum,Hybrid
BOG Lifesaver,Hybrid
Brains Choice,Hybrid
Brains Damage,Indica
Brainwreck,Hybrid
Brazilian Gold,Hybrid
Brazilian Haze,Hybrid
Brazilian Lemon,Hybrid
Brazilian Skunk,Hybrid
Bronze Whaler,Hybrid
Bubblefunk,Hybrid
Bubblejuice,Hybrid
Bud Bunnie,Hybrid
Thai,Sativa
California Orange,Hybrid
C-Plus,Hybrid
C4,Hybrid
California Grapefruit,Hybrid
California Special,Hybrid
Calizhar,Hybrid
Canadian Classic,Hybrid
Candy Cane Brain,Hybrid
Canna Sutra,Hybrid
Cannalope Haze,Hybrid
Capricho,Hybrid
Caribe,Hybrid
Cherry Berry,Hybrid
Lionheart,Hybrid
Cherry Melon,Hybrid
Cherry Thai,Hybrid
Chewing,Hybrid
Chilla,Hybrid
China White,Hybrid
Chinese Indica,Hybrid
Chitral,Hybrid
Chocolate Chunk,Hybrid
Chronic,Hybrid
Chronicle,Hybrid
Chrystal,Hybrid
The Church,Hybrid
Cinderella Blues,Hybrid
Cindy Princess,Hybrid
Cinnamon,Hybrid
Citral,Hybrid
Citralah,Hybrid
Citrus Skunk,Hybrid
City Slicker,Hybrid
Colombian Gold,Hybrid
Colombian Haze,Hybrid
Colombian Jack,Hybrid
Conquistador,Hybrid
Continental,Hybrid
Cotton Candy,Hybrid
Couchlock,Hybrid
Crazy Daze,Hybrid
Critical Hash 47,Hybrid
Crown Royal,Hybrid
Crystal,Hybrid
Crystal Lightning,Hybrid
Crystal Limit,Hybrid
Crystal Ship,Hybrid
Crystalberry,Hybrid
Da Bomb,Hybrid
Dagga,Hybrid
Dankee Doodle,Hybrid
Dannyboy,Hybrid
Dark Kush,Hybrid
Dark Vader,Hybrid
Dawg,Hybrid
Daywrecker,Hybrid
Delta 9,Hybrid
Deep Chunk,Hybrid
Desert Queen,Hybrid
Destroyer,Hybrid
Devil,Hybrid
Diablo,Hybrid
Diamond Head,Hybrid
Diesel,Hybrid
Diesel 39,Hybrid
Delta 9,Hybrid
Dirty Harry,Hybrid
Diva G,Hybrid
Dixie Chicken,Hybrid
Dixie Crystals,Hybrid
Doc Chronic,Hybrid
The Doctor,Hybrid
Dolce Vita,Hybrid
The Dope,Hybrid
Double Bubble,Hybrid
Double G,Hybrid
Double Dutch,Hybrid
Double Dutch Haze Skunk,Hybrid
Double Purple Doja,Hybrid
DTC 99,Hybrid
Ducksfoot,Hybrid
Durban / Durban Poison,Hybrid
Durban Red,Hybrid
Durban Thai Highflier,Hybrid
Durga Mata,Hybrid
Dutch Dragon,Hybrid
Early Brambleberry,Hybrid
Early Chemo,Hybrid
Early Green,Hybrid
Early Misty,Hybrid
Early Pearl,Hybrid
Early Queen,Hybrid
Early Skunk,Hybrid
Early White,Hybrid
Eclipse,Hybrid
El Peru,Hybrid
Electric Haze,Hybrid
Elvis,Hybrid
Endless Sky ,Hybrid
Ethiopian Highland,Hybrid
Euforia,Hybrid
Everest Queen,Hybrid
Exile,Hybrid
FN Blue,Hybrid
Far Out,Hybrid
Fast Blast,Hybrid
Fast Manitoba,Hybrid
Fig Widow Queen,Hybrid
Fighting Buddah,Hybrid
Fijian Sativa,Hybrid
Firecracker,Hybrid
Five-O,Hybrid
FourWay,Hybrid
Free Tibet,Hybrid
Fruit Bowl,Hybrid
Fruity Juice,Hybrid
Fruity Thai,Hybrid
Fuma Con Diablos,Hybrid
Fumar Con Dios,Hybrid
G-Berry,Hybrid
G-Bolt,Hybrid
G-Star,Hybrid
G-SUS,Hybrid
G13 Blue Widow,Hybrid
G13 Diesel,Hybrid
Gainesville Green,Hybrid
Generals Daughter,Hybrid
Ghandi,Hybrid
Ghaze Bx1,Hybrid
Ghost,Hybrid
Giant Cindy,Hybrid
Giant Princess,Hybrid
God’s Treat,Hybrid
Golden Haze,Hybrid
Golden Skush,Hybrid
GoldenMoon,Hybrid
Gonzo #1,Hybrid
Gordy’s Spice #18,Hybrid
Gourdbuster,Hybrid
Granflora,Hybrid
Grape Mayhem,Hybrid
Grape Punch,Hybrid
Grapeskunk,Hybrid
Great Garberville Pure,Hybrid
Great White Shark,Sativa
Green Devil,Hybrid
Green Giant,Hybrid
Green Goddess,Hybrid
Green Medicine,Hybrid
Green Spirit,Hybrid
Grenadella,Hybrid
Grenadine,Hybrid
Grimm White Shark,Hybrid
Guerrilla,Hybrid
Gypsy’s Kiss,Hybrid
Hash Balls 2,Hybrid
Hash Heaven,Hybrid
Hash Khan,Hybrid
Hash Plant,Indica
Haley’s Comet,Hybrid
Hardcore,Hybrid
Hawaiian Goddess #3,Hybrid
Hawaiian Indica,Hybrid
Haze Mist,Hybrid
Haze Special,Hybrid
Headband Diesel,Hybrid
Headstash,Hybrid
Herijuana,Hybrid
Herijuana,Hybrid
High Land,Hybrid
Highend,Hybrid
Highland Afghani,Hybrid
The HOG,Hybrid
Hollands Hope,Hybrid
Homegrown Fantasy,Hybrid
Hoosier Hoot’n’Hollar,Hybrid
Hubba Bubba,Hybrid
Humboldt Berry,Hybrid
Huron,Hybrid
Ice Princess,Hybrid
Ice Queen,Hybrid
Indian Haze,Hybrid
Indian Skunk,Hybrid
Indigo,Hybrid
Ingemars Punch,Hybrid
Island Bud,Hybrid
Island Lady,Hybrid
J.J.’s Gold,Hybrid
JackHammer,Hybrid
Jackie O,Hybrid
Jamaica,Hybrid
Jamaican,Hybrid
Janis Special,Hybrid
Jim Dandy,Hybrid
Johnny Blaze,Hybrid
Juicy Russian,Hybrid
K2 Special,Hybrid
K.C.33,Hybrid
K.C.36,Hybrid
K.C.42,Hybrid
Kahuna,Hybrid
Hawaiian,Hybrid
Kali’s Bliss,Hybrid
Kali Spice,Hybrid
Kalichakra,Hybrid
Kanasuta,Hybrid
Kariba Surprise,Hybrid
Karpov,Hybrid
Kasparov,Hybrid
Kerala Krush,Hybrid
Kerala Skunk,Hybrid
KGB,Hybrid
Khola,Hybrid
Kill Bill,Hybrid
Killa Kush,Hybrid
Killer Apollo,Hybrid
Killer Kristalls,Hybrid
Killer Newhaven,Hybrid
Killer Queen 2,Hybrid
Killian,Hybrid
Killin Garberville,Hybrid
King’s Kross,Hybrid
Kiwi,Hybrid
Klingonberry,Hybrid
Klitschkov,Hybrid
Kolinahr,Hybrid
Kong,Hybrid
Kranial Kush,Hybrid
Kushage,Hybrid
Kwik Kali,Hybrid
La Nina,Hybrid
Lambada,Hybrid
Lambsbread Skunk,Hybrid
Lasqueti Haze,Hybrid
Lebanese,Hybrid
Leda Uno,Hybrid
Legends Ultimate Indica,Hybrid
Lemon Bud,Hybrid
Lemon Chemo,Hybrid
Lemon Freeze,Hybrid
Leshaze,Hybrid
Lieu Hanh,Hybrid
Lieu Hanh 99,Hybrid
Life Star,Hybrid
Lime Chemo,Hybrid
Lone Ranger,Hybrid
Love Potion #1,Hybrid
Love Potion 9,Hybrid
Low P.T.,Hybrid
Lowland Afghani,Hybrid
Lowrider,Hybrid
M3,Hybrid
Mako Shark,Hybrid
Malaki,Hybrid
Malawi 99,Hybrid
Malawi Gold,Hybrid
Malberino,Hybrid
Malberry,Hybrid
Malibu,Hybrid
Magic Carpet Ride,Hybrid
Magic Crystal,Hybrid
Mandarin Punch,Hybrid
Manga Rosa,Hybrid
Mangolian Indica,Hybrid
Manolito 1,Hybrid
Marley’s Collie,Hybrid
Martian Mean Green,Hybrid
Master Ice,Hybrid
Masterkush,Hybrid
Matanuska Mist,Hybrid
Maui Mist,Hybrid
Mayhem,Hybrid
Mazar,Hybrid
MCW,Hybrid
MedMaster,Hybrid
Mendocino Madness,Hybrid
Merlins Dream,Hybrid
Merville Blueberry,Hybrid
Mexican Sativa,Hybrid
Mighty Haze Candy,Hybrid
Mikush,Hybrid
Mind Bender,Hybrid
Mindfuck,Hybrid
Mississippi Sweet Bud,Hybrid
Mississippi Queen,Hybrid
Misty,Hybrid
Moon Shadow,Hybrid
Moonflower,Hybrid
Morning Dew,Hybrid
Mountain Jam,Hybrid
Mountain Lion,Hybrid
MP5K,Hybrid
Mr. Bubble,Hybrid
Mr. Majestyx,Hybrid
Mr. Nice,Hybrid
Neon Super Skunk,Hybrid
Nepal Baba,Hybrid
Nepalese Grizzly,Hybrid
Nepalese Jam,Hybrid
Nepali,Hybrid
Neville’s Haze,Hybrid
Neville’s Haze Hybrid,Hybrid
New Killer Queen,Hybrid
New Purple Cross,Hybrid
New Purple Power,Hybrid
New York City Diesel,Hybrid
Nigerian,Hybrid
Nirvana Special,Hybrid
No Mercy Special,Hybrid
North #1,Hybrid
Northern Berry,Hybrid
Northern Bright,Hybrid
Northern Dream,Hybrid
Northern Lights,Hybrid
Northern Lights #1,Hybrid
Northern Lights #2,Hybrid
Northern Lights #9,Hybrid
Northern Skunk,Hybrid
Nutcruncher,Hybrid
NYC Diesel,Hybrid
Oasis,Hybrid
Odin’s Hammer,Hybrid
Oké 47,Hybrid
Optimus Prime,Hybrid
Orange Apollo,Hybrid
Orange Chemo,Hybrid
Orange Crush,Hybrid
Orange Spice,Hybrid
Orangina,Hybrid
Orient Express,Hybrid
Original Diesel,Hybrid
Original Gangsta Kush,Hybrid
Original Green,Hybrid
Original Haze,Hybrid
Original Highway Delight,Hybrid
Original Strawberry Diesel,Hybrid
Ortega Indica #1,Hybrid
Pakalolo,Hybrid
Pakistani,Hybrid
Panama,Hybrid
Panama Powerhouse,Hybrid
Panama Punch,Sativa
Papaya,Hybrid
Passion Queen,Hybrid
Passion #1,Hybrid
Peak 19,Hybrid
Incredible Bulk,Indica
Crystal Cookies 4-BD,Hybrid
Girl Scout Cookies,Hybrid
Sunset Sherbet,Sativa
Arts OG,Indica
Gorilla Glue,Hybrid
Swiss/Tsu 4.1,Hybrid
Harle Tsu,Hybrid
Super Glue by NOTA,Indica
Pinnaple Haze,Hybrid
Cross of the Titans- BD,Hybrid
Crystal Cookies #3,Hybrid
Crystal Cookies #4- SK,Hybrid
Cross of the Titans- SK,Hybrid
Alien Og #4,Indica
Train Wreck,Hybrid
Girl Scout Cookies Thin...,
Chem Dawg,Hybrid
Lake of Fire,Indica
Slimer,Sativa
Roosevelt,Organi
Phantom OG,Indica
Jack,Hybrid
Cookies,Hybrid
GDP,Indica
Kush,Hybrid
Commisioner Gordon,
Mickey Kush,Sativa
Mango x Trainwreck,
Wonder Woman,Hybrid
Night Nurse,Hybrid
C2,Indica
C1,Indica
SH,Hybrid
Skywalker,Hybrid
Blue Maui,Sativa
Black Triangle,Hybrid
Sour Dosi Doe,Hybrid
Dosi Doe,Hybrid
Diamond OG,Hybrid
OG,Hybrid
Chronic Thunder,Indica
Northern Lites,Indica
Supreme Moby Dick,Hybrid
Black Lime Reserve,Hybrid
Thai OG,Hybrid
13,
Supreme,
Girl Scout Cookie,Hybrid
Pineapple Chunk,Hybrid
Terp Gang OG,Hybrid
Platinum Moby Dick,Hybrid
Humboldt OG,Hybrid
GG #4,Indica
OG-18,Indica
Purple CBD,Hybrid
Goddess OG,Hybrid
Master Cookies,Hybrid
Gorilla Glue #4,Hybrid
Super Glue,Hybrid
RJ OG,Indica
Kryptilla,Inorga
Snowcap OG,Indica
OG #18,
Alien OG,Hybrid
Blackjack,Hybrid
Girl Scout Cookies +,Hybrid
Do-Si-Dos +,Hybrid
Girls Scout Cookies,Hybrid
Do-Si-Dos,Indica
Birthday Cake,Hybrid
Peanut Butter Cookies,Hybrid
San Fernando OG,Hybrid
Mad Man OG,Hybrid
Royal Hillbilly Kush,Hybrid
Healing Rain,Hybrid
Dube OG,Hybrid
AK Hash Plant,Indica
Wet Dream,Sativa
BD 28,
Platinum Cookies,Hybrid
Platinum OG Kush,Hybrid
Blue Cookies,Hybrid
Ripped Bubba,Hybrid
Blueberry Cookies,Hybrid
Sunset Sherbert,Hybrid
O.D. OG Kush,Hybrid
"Swiss Tsu, M0",Hybrid
Purple Skywalker Mango,Outdoo
Skittles,Hybrid
LRBL- Purple Urkel x...,Hybrid
LRBL- GSC,
LRBL- SFV OG,
Sherbert,Hybrid
Firewalker OG,Sativa
Thai-Dye,Hybrid
Nando Og,
9 Pound Hammer,Hybrid
1ST 48,Sativa
CBD Kush #2,Hybrid
Holy Grail,Hybrid
Chocolate Fondue,Hybrid
Cherry OG,Hybrid
Mazar x White Rhino,Hybrid
Sapphire Scout,Hybrid
Litt Gorilla Glue #4,Hybrid
Bird Blazer,Hybrid
SFV,Sativa
Private Reserve,Indica
O.D. Shreck,Sativa
Blueberry OG,Hybrid
Gelato,Hybrid
Trinity OG,Sativa
Strawberry Tahoe,Hybrid
Blue Diamond,Hybrid
Black Jack (R),Sativa
Sour D.,Sativa
Soul Assassin OG,Hybrid
Dube Dee,Hybrid
Dube Doo,Hybrid
King Leet,Hybrid
Daking,Hybrid
Cherry Pie,Indica
Wu Tang,Hybrid
Key Lime Sherbert,Hybrid
Cookie,Hybrid
Monkey Cheese,Hybrid
Outside Swiss Tsu,Hybrid
0.1 Swiss Tsu,Hybrid
4.1 Swiss Tsu,Hybrid
4.0 Swiss Tsu,Hybrid
Royal Kush,Hybrid
Healing Rain M2,Hybrid
Plat. Cookies,Hybrid
10# Hammer,Indica
Fireberry,Hybrid
Healing Rain M1,
Fruity Chronic Juice,Hybrid
Tangie,Hybrid
Sour Tangie,Hybrid
King Louis OG,Hybrid
Bubble Gum (MO),Hybrid
Sweet Purple (MO),Hybrid
Atomic Haze (MO),Hybrid
PlanCash #1,Indica
Sweetwater Veterans...,Sativa
Blue Snow,Hybrid
OD Jack Herer,Sativa
Monster Cookies,Hybrid
Head Band,Hybrid
Harle 4,Hybrid
Harle 3,Hybrid
Harle 2,Hybrid
Charlie Sheen,Hybrid
Wappa (D),Indica
Magic Bud (W),Indica
All Kush (W),Indica
Lucid Bolt (W),Indica
Wappa (W),Indica
All Kush (D),Indica
Jack Tangie,
Erlich Bachman Slider,Hybrid
Cheese x Lavender,Hybrid
Santa Cruz Girl Scout...,Hybrid
Gelato #1,Hybrid
HD- Mango KCB,Indica
Madusa OG,Hybrid
Lemon OG Seeded,Hybrid
